Country,Year,C1,C2,C3,E1,E2,E3,P1,P2,P3,S1,S2,X1,GDP_per_Capita,Life_Expectancy,Internet_Access,Infant_Mortality,FSI_Category
Colombia,2020,High,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,3_Alert
Tajikistan,2020,Medium,High,Medium,Medium,Medium,Medium,High,Medium,High,High,Medium,Medium,Low,Low,Low,High,3_Alert
Jordan,2020,Medium,High,High,Medium,Medium,Medium,Medium,Medium,High,Medium,High,High,Medium,Medium,Medium,Medium,3_Alert
India,2020,High,High,High,Medium,Medium,Medium,Medium,Medium,High,High,Medium,Medium,Low,Medium,Low,High,3_Alert
West Bank and Gaza,2020,Medium,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,High,Low,Medium,Medium,Medium,3_Alert
Bolivia,2020,Medium,High,Medium,Medium,High,Medium,High,Medium,Medium,Medium,Low,Medium,Medium,Low,Medium,Medium,3_Alert
Algeria,2020,Medium,High,High,Medium,Medium,Medium,High,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,3_Alert
Senegal,2020,Medium,High,Medium,High,High,High,Medium,High,Medium,High,Medium,Medium,Low,Low,Low,High,3_Alert
Kyrgyz Republic,2020,Medium,High,High,Medium,Medium,High,High,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,3_Alert
Uzbekistan,2020,Medium,High,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Medium,Low,Medium,Medium,Medium,3_Alert
Brazil,2020,High,Medium,High,Medium,High,Medium,High,High,High,High,Medium,Medium,Medium,Medium,High,Medium,3_Alert
Russian Federation,2020,High,High,High,Medium,Medium,Medium,High,Low,High,Medium,Medium,Medium,High,Medium,High,Low,3_Alert
Benin,2020,Medium,High,Low,Medium,High,High,Medium,High,Medium,High,Medium,Medium,Low,Low,Low,High,3_Alert
Azerbaijan,2020,Medium,High,Medium,Medium,Medium,Medium,High,Medium,High,Medium,High,Medium,Medium,Medium,High,Medium,3_Alert
"Micronesia, Fed. Sts.",2020,Medium,Medium,Medium,High,High,High,Medium,Medium,Medium,Medium,Medium,High,Low,Low,Low,Medium,3_Alert
Morocco,2020,Medium,Medium,High,Medium,Medium,High,High,Medium,Medium,Medium,Medium,Medium,Low,Medium,High,Medium,3_Alert
Georgia,2020,Medium,High,High,Medium,Medium,Medium,High,Medium,Medium,Low,Medium,High,Medium,Medium,Medium,Low,3_Alert
Thailand,2020,High,High,High,Low,Medium,Medium,High,Medium,High,Medium,Medium,Low,Medium,High,Medium,Medium,3_Alert
Sao Tome and Principe,2020,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Low,Medium,Medium,High,Low,Low,Low,Medium,3_Alert
Bosnia and Herzegovina,2020,Medium,High,High,Medium,Medium,Medium,Medium,Low,Medium,Low,High,High,Medium,High,Medium,Low,3_Alert
South Africa,2020,High,Medium,Medium,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,High,3_Alert
China,2020,Medium,High,High,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Low,High,High,Medium,Low,4_HighWarning
Fiji,2020,High,High,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Low,High,Medium,Low,Medium,Medium,4_HighWarning
Bhutan,2020,Medium,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Low,Medium,Medium,Medium,4_HighWarning
Ecuador,2020,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,4_HighWarning
Gabon,2020,Medium,High,Low,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Medium,Medium,Low,Medium,High,4_HighWarning
Turkmenistan,2020,Medium,High,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Low,Low,Medium,Low,Medium,High,4_HighWarning
Ukraine,2020,High,High,Medium,Medium,Low,Medium,High,Medium,Medium,Low,Medium,High,Medium,Medium,Medium,Medium,4_HighWarning
El Salvador,2020,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Low,Medium,4_HighWarning
Saudi Arabia,2020,Medium,High,High,Medium,Medium,Medium,High,Low,High,Medium,Medium,Medium,High,High,High,Low,4_HighWarning
Tunisia,2020,High,High,High,High,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,4_HighWarning
Indonesia,2020,Medium,High,High,Medium,Medium,Medium,Medium,Medium,High,High,Medium,Medium,Medium,Low,Low,Medium,4_HighWarning
